Thu. Aug. 20, 2020             LANDSAT 5                 Time: 18:58
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 194 / 026

L0R Reference Image: L51KIS1011288090100_HDF.202231408
Acquisition Date: Oct 15, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
193   026   09-13-1999, 10-03-2015
193   027   09-13-1999, 07-31-2015
194   025   09-04-1999, 08-23-2015
194   026   08-24-2001, 03-13-2014
194   027   08-24-2001, 08-01-2013
195   025   09-11-1999, 10-01-2015
195   026   09-11-1999, 10-01-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1940250402_01   49.655880    9.850314   351.738      -3.543     0.973    -3.660     0.242
1940250406_01   49.668123   10.088335   223.136      -5.799     0.394    -5.755    -0.778
1940250407_01   49.663888    9.657637   286.305      -3.062    -5.364    -1.916    -5.864
1940250414_01   49.664175    9.554785   417.641      -2.134    -1.866    -1.710    -2.254
1940250417_01   49.637432   10.241034   312.366      -4.643    -0.425    -4.459    -1.349
1940250423_01   49.663473    9.518256   388.937       0.551    -2.183     0.982    -2.026
1940250431_01   49.638364    9.533727   418.011       2.772    -1.038     2.925    -0.460
1940250435_01   49.649114    9.465710   444.980       2.731     1.615     2.353     2.128
1940250437_01   49.627360    9.504513   428.356       1.626     5.745     0.442     5.949
1940250440_01   49.631831    9.403614   461.496       2.616    -1.776     2.921    -1.212
1940250444_01   49.672944    9.382352   258.243       6.468    -4.115     7.162    -2.730
1940250449_01   49.375239   11.438259   474.313       0.935     3.104     0.286     3.225
1940250480_01   49.371425   11.515351   584.876       0.672     3.401    -0.031     3.462
1940250511_01   49.568030   10.322153   391.000       4.421     3.576     3.609     4.387
1940250515_01   49.370534   11.469882   594.347      -0.651    -3.581     0.077    -3.636
1940250517_01   49.296817   11.287513   471.348       4.656    -4.462     5.449    -3.430
1940250543_01   49.394354   10.609813   456.909       5.890     3.677     5.023     4.782
1940250563_01   49.513687   10.038440   406.405       4.461    -5.833     5.539    -4.812
1940250566_01   49.689821    9.185843   472.087       4.784    -1.113     4.911    -0.130
1940250602_01   49.336201   11.382224   512.421       1.590     0.789     1.392     1.091
1940250609_01   49.608918   10.355255   373.603      -1.379     3.875    -2.127     3.515
1940250611_01   49.642643    9.692159   336.641       4.358     4.847     3.295     5.619
1940250626_01   49.611245    9.357418   496.249       5.798    -3.593     6.400    -2.352
1940250634_01   49.588252    9.451523   476.312       5.062     0.651     4.827     1.653
1940260003_01   48.945082    9.129225   271.790      -0.100     3.986    -0.897     3.881
1940260004_01   48.460366   10.281686   506.833      -4.112    -0.092    -4.006    -0.922
1940260005_01   49.455550   10.850629   434.947       2.540     4.446     1.590     4.861
1940260006_01   49.474564   11.047294   363.188      -3.418    -1.535    -3.041    -2.191
1940260007_01   48.738925   11.189675   440.650      -1.382     1.260    -1.612     0.953
1940260009_01   48.804979    9.521531   299.042      -5.652     4.543    -6.445     3.306
1940260010_01   49.722947    9.208827   166.097       0.157     0.537     0.052     0.558
1940260011_01   48.812525    9.177895   348.544      -3.649     1.635    -3.896     0.865
1940260012_01   48.712993    9.620874   368.054       1.509     2.948     0.884     3.189
1940260013_01   48.712079   10.773358   443.719      -3.086     3.259    -3.680     2.565
1940260014_01   48.426247    9.962851   650.441      -0.435     0.762    -0.580     0.657
1940260015_01   48.701476    9.024278   494.110      -3.902     0.135    -3.840    -0.654
1940260016_01   48.284063   10.892372   559.031      -5.470     2.783    -5.918     1.614
1940260017_01   48.242366   10.348923   601.668       0.512    -2.266     0.956    -2.113
1940260020_01   48.569046   10.424685   495.195      -4.272     1.813    -4.548     0.911
1940260021_01   48.887312    9.523979   335.620       0.212    -3.654     0.947    -3.532
1940260023_01   48.350919   10.992145   542.314      -5.830    -3.215    -5.059    -4.326
1940260024_01   48.367492   10.016506   527.466       1.474    -0.734     1.589    -0.420
1940260025_01   48.468327    9.232340   498.994      -2.327     3.460    -2.972     2.915
1940260028_01   49.579288   10.601767   346.364      -5.098    -0.277    -4.936    -1.295
1940260030_01   48.349566   10.945031   537.825      -1.371     2.483    -1.847     2.150
1940260031_01   49.244754   11.086538   371.204       5.294    -3.804     5.942    -2.658
1940260032_01   49.782909    9.170774   176.695      -6.134     6.654    -7.335     5.286
1940260034_01   49.075839    9.548899   545.803       1.275    -0.119     1.275     0.140
1940260035_01   49.398406   11.364152   471.866       0.003     2.598    -0.523     2.542
1940260036_01   48.827661    9.300248   312.179      -3.792     2.602    -4.232     1.783
1940260038_01   48.411162    9.988500   587.454       2.027     2.886     1.399     3.232
1940260040_01   48.941702    9.341038   327.846       3.745     2.165     3.232     2.874
1940260041_01   48.796435    9.056530   407.114       3.316    -2.908     3.836    -2.176
1940260043_01   49.319013   11.021489   419.211       3.229    -6.198     4.402    -5.417
1940260044_01   48.569213    9.632141   682.773      -0.921     3.488    -1.603     3.225
1940260045_01   48.086044   10.867831   626.259      -0.833     0.904    -1.003     0.715
1940260046_01   48.747767    9.174425   508.982      -2.806     4.046    -3.557     3.393
1940260047_01   49.365064    9.673047   349.881       3.218    -1.046     3.362    -0.377
1940260048_01   49.494417   11.084548   368.789       1.041     3.328     0.347     3.466
1940260050_01   49.284238   11.335709   488.396       4.271    -3.942     4.966    -2.999
1940260051_01   48.374244   10.936212   525.309      -4.673    -0.999    -4.375    -1.924
1940260053_01   48.244091   10.489195   553.916       1.534     2.186     1.055     2.448
1940260054_01   49.429687   11.035095   389.525      -5.122    -3.486    -4.317    -4.443
1940260055_01   48.722569    9.224104   450.856      -1.475    -2.299    -0.975    -2.546
1940260057_01   49.303498    9.624742   264.298       5.186    -1.904     5.462    -0.820
1940260058_01   48.319920   10.048328   535.093       0.004    -1.873     0.381    -1.831
1940260059_01   48.530338    9.094870   368.841       6.263    -0.430     6.218     0.844
1940260063_01   48.879702    9.396271   331.314      -4.724     2.683    -5.160     1.674
1940260064_01   48.073141   10.899943   656.792      -0.245     4.175    -1.089     4.033
1940260065_01   48.425077    9.277972   771.334       2.344    -5.913     3.490    -5.308
